trueMean,trueVar,numberOfDatasets,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError,meanAbsErrorDatasetSD,varAbsErrorDatasetSD,meanPercentErrorDatasetSD,varPercentErrorDatasetSD,combinedPercentErrorDatasetSD
2.342105263157894512e+01,1.000000000000000000e+00,1.000000000000000000e+01,2.348382520835296106e+01,1.004895578854067439e+00,2.540934945316340343e+00,5.299790572193820853e-02,1.480486963314956439e+00,4.895578854067527894e-03,6.321180292805434142e+00,4.895578854067528241e-01,3.405369089106093039e+00,1.677671302224126970e+00,6.962377372480815785e-03,7.163090953316498144e+00,6.962377372480816895e-01,3.581149543654728262e+00
2.342105263157894512e+01,2.000000000000000000e+00,1.000000000000000000e+01,2.417277117277382814e+01,2.255183935169010390e+00,1.835117689331794422e+00,3.728068086249997637e-01,1.409250510997154704e+00,2.654627867339162672e-01,6.017024653695719039e+00,1.327313933669581481e+01,9.645081995195766922e+00,1.135077552344141427e+00,2.842028276930804176e-01,4.846398538098582343e+00,1.421014138465402077e+01,7.866853829630793271e+00
2.342105263157894512e+01,3.000000000000000000e+00,1.000000000000000000e+01,2.344398221965905549e+01,3.170873562970560222e+00,1.578990224624021055e+00,6.351138097131439064e-01,9.322440134747246310e-01,4.355959291763319419e-01,3.980367697981970654e+00,1.451986430587773569e+01,9.250116001929852061e+00,5.167918451558799475e-01,2.258055810502477556e-01,2.206526979317240400e+00,7.526852701674925150e+00,3.771444738165378396e+00
2.342105263157894512e+01,4.000000000000000000e+00,1.000000000000000000e+01,2.445909460149804815e+01,4.149413093028298860e+00,1.473099443917090579e+00,7.541775292635028993e-01,1.149433494406308043e+00,5.466738281156067192e-01,4.907693571622439244e+00,1.366684570289016776e+01,9.287269637256303056e+00,7.261357534736416763e-01,4.221774131494295257e-01,3.100354902471728735e+00,1.055443532873573709e+01,5.023603696834742394e+00
2.342105263157894512e+01,5.000000000000000000e+00,1.000000000000000000e+01,2.350278558551143959e+01,4.874056741621713762e+00,1.330027481166615289e+00,7.683914464568094571e-01,1.211684898829141321e+00,3.774295621008507129e-01,5.173486084888468284e+00,7.548591242017015368e+00,6.361038663452741382e+00,7.711680668155614926e-01,3.994482691410216058e-01,3.292627701010262697e+00,7.988965382820431671e+00,3.436672539069483445e+00
2.342105263157894512e+01,6.000000000000000000e+00,1.000000000000000000e+01,2.286512032499254587e+01,5.060181150253380444e+00,1.291835931372508073e+00,7.676487120453618918e-01,9.209617162864554007e-01,9.398188497466195557e-01,3.932196092009585531e+00,1.566364749577699023e+01,9.797921793893287656e+00,6.955641048140135396e-01,4.297415367575977418e-01,2.969824267745226898e+00,7.162358945959961254e+00,4.384308817228645516e+00
2.710526315789473628e+01,1.000000000000000000e+00,1.000000000000000000e+01,2.799091118145815216e+01,1.043364262640469331e+00,2.986850022653176673e+00,7.164565667881217514e-02,1.542811643835388935e+00,4.336426264046910894e-02,5.691926452984930052e+00,4.336426264046911783e+00,5.014176358515920917e+00,9.931737612604280008e-01,1.292695708637340291e-01,3.664136206591870337e+00,1.292695708637340246e+01,6.105561513668995133e+00
2.710526315789473628e+01,2.000000000000000000e+00,1.000000000000000000e+01,2.725083666978576957e+01,2.028189840348835205e+00,2.142044081647513920e+00,2.598472370925965502e-01,2.181797060534953925e+00,1.643063386027729389e-01,8.049348378672645410e+00,8.215316930138646612e+00,8.132332654405647787e+00,1.574311849711685474e+00,2.786662140993134695e-01,5.808140804761557696e+00,1.393331070496567747e+01,5.875744743289513572e+00
2.710526315789473628e+01,3.000000000000000000e+00,1.000000000000000000e+01,2.717745088915541629e+01,3.230398748704712997e+00,1.781409527752054078e+00,5.834227996590636289e-01,1.609159798329796276e+00,5.947532573836584735e-01,5.936706052090509722e+00,1.982510857945527860e+01,1.288090731577289283e+01,1.297834619185556981e+00,5.766529947117507993e-01,4.788127721267103176e+00,1.922176649039169760e+01,9.839981190027115687e+00
2.710526315789473628e+01,4.000000000000000000e+00,1.000000000000000000e+01,2.703081582397782157e+01,3.962455262451818783e+00,1.617466688534061614e+00,7.596543763522505266e-01,9.554297695242638389e-01,4.515413066066688019e-01,3.524886528341943936e+00,1.128853266516672171e+01,7.406709596754330605e+00,8.015886796927551572e-01,4.460069331176504392e-01,2.957317459060650577e+00,1.115017332794126226e+01,5.451279218159840845e+00
2.710526315789473628e+01,5.000000000000000000e+00,1.000000000000000000e+01,2.615663595906219641e+01,4.862686886877064296e+00,1.461681285989727019e+00,6.778537087047469267e-01,1.569251772065031858e+00,6.892317640991241223e-01,5.789472557133127140e+00,1.378463528198247978e+01,9.787053919557802573e+00,8.687265109348907277e-01,4.855690720137025851e-01,3.205010428691830615e+00,9.711381440274053034e+00,5.422647246223221806e+00
2.710526315789473628e+01,6.000000000000000000e+00,1.000000000000000000e+01,2.697228308742124980e+01,5.085206405815941189e+00,1.447458705713450255e+00,7.023482195201740108e-01,9.958108393879762099e-01,9.147935941840590335e-01,3.673865232693503735e+00,1.524655990306764863e+01,9.460212567880578405e+00,8.603389727199660664e-01,5.859547245402293436e-01,3.174066112947447227e+00,9.765912075670488690e+00,6.187425214956657094e+00
